Rank,Username,Owner,"Brand
account","Followers
(millions)[2]",Profession/Activity,Country/Continent
1,@instagram,Instagram,,555,Social media platform,United States
2,@cristiano,Cristiano Ronaldo,,484,Footballer,Portugal
3,@kyliejenner,Kylie Jenner,,370,"Television personality, model and businesswoman",United States
4,@leomessi,Lionel Messi,,363,Footballer,Argentina
5,@selenagomez,Selena Gomez,,348,"Musician, actress, and businesswoman",United States
6,@therock,Dwayne Johnson,,339,Actor and professional wrestler,United States
7,@arianagrande,Ariana Grande,,332,"Musician, actress and businesswoman",United States
8,@kimkardashian,Kim Kardashian,,330,"Television personality, model and businesswoman",United States
9,@beyonce,Beyoncé,,276,"Musician, actress and businesswoman",United States
10,@khloekardashian,Khloé Kardashian,,273,Television personality and model,United States
11,@justinbieber,Justin Bieber,,259,Musician,Canada
12,@kendalljenner,Kendall Jenner,,258,Model and television personality,United States
13,@natgeo,National Geographic,,240,Magazine,United States
14,@nike,Nike,,239,Sportswear multinational,United States
15,@taylorswift,Taylor Swift,,225,Musician and actress,United States
16,@jlo,Jennifer Lopez,,223,Musician and actress,United States
17,@virat.kohli,Virat Kohli,,217,Cricketer,India
18,@nickiminaj,Nicki Minaj,,202,Musician,"Trinidad and Tobago
 United States"
19,@kourtneykardash,Kourtney Kardashian,,199,Television personality and model,United States
20,@mileycyrus,Miley Cyrus,,183,Musician and actress,United States
21,@neymarjr,Neymar,,179,Footballer,Brazil
22,@katyperry,Katy Perry,,173,Musician,United States
23,@kevinhart4real,Kevin Hart,,154,Comedian and actor,United States
24,@zendaya,Zendaya,,152,Actress and singer,United States
25,@iamcardib,Cardi B,,141,Musician and actor,United States
26,@ddlovato,Demi Lovato,,140,Musician and actor,United States
27,@badgalriri,Rihanna,,136,Musician and businesswoman,Barbados
28,@kingjames,LeBron James,,133,Basketball player,United States
29,@theellenshow,Ellen DeGeneres,,125,Comedian and television personality,United States
30,@realmadrid,Real Madrid CF,,125,Football club,Spain
31,@champagnepapi,Drake,,121,Musician,Canada
32,@chrisbrownofficial,Chris Brown,,121,Musician,United States
33,@fcbarcelona,FC Barcelona,,112,Football club,Spain
34,@billieeilish,Billie Eilish,,106,Musician,United States
35,@championsleague,UEFA Champions League,,98.6,Club football competition,Europe
36,@gal_gadot,Gal Gadot,,87.9,Actress,Israel
37,@dualipa,Dua Lipa,,87.1,Musician,United Kingdom
38,@vindiesel,Vin Diesel,,83.1,Actor,United States
39,@nasa,NASA,,83,Space agency,United States
40,@priyankachopra,Priyanka Chopra,,82.5,Actress and musician,India
41,@lalalalisa_m,Lisa,,82.5,Musician,Thailand
42,@khaby00,Khaby Lame,,80.2,Social media personality,"Italy
 Senegal"
43,@snoopdogg,Snoop Dogg,,76.6,Musician,United States
44,@shakira,Shakira,,76.2,Musician,Colombia
45,@gigihadid,Gigi Hadid,,75.8,Model,United States
46,@davidbeckham,David Beckham,,75.4,Footballer,United Kingdom
47,@shraddhakapoor,Shraddha Kapoor,,75,Actress,India
48,@victoriassecret,Victoria's Secret,,73.4,Lingerie Company,United States
49,@k.mbappe,Kylian Mbappé,,72.6,Footballer,France
50,@nehakakkar,Neha Kakkar,,71.4,Musician,India
"as of September 28, 2022[update]",,,,,,
