,Username,Average Number of Likes,Average Number of Likes on Red-Dominant Posts,Average Number of Likes on Green-Dominant Posts,Average Number of Likes on Blue-Dominant Posts,Red-Dominant Percentage,Green-Dominant Percentage,Blue-Dominant Percentage
0,instagram,408913.0,404100.0,431158.0,358251.0,0.988229770146706,1.0544003247634584,0.8761056752903429
1,cristiano,6084814.0,5621742.0,4744913.0,5986831.0,0.9238970985801702,0.7797958984448826,0.98389712487514
2,kyliejenner,3935128.0,5362514.0,,3123188.0,1.3627292428607152,,0.793668719289436
3,leomessi,3831312.0,4525080.0,3978799.0,3578974.0,1.181078439970433,1.0384951682347978,0.9341379663154554
4,selenagomez,2107895.0,2139540.0,,1445466.0,1.0150126073642187,,0.6857390904195892
5,therock,806595.0,306548.0,,919318.0,0.3800519467638654,,1.1397516721526912
6,arianagrande,4954693.0,5683963.0,,5675917.0,1.147187726868244,,1.1455638119253806
7,kimkardashian,1184215.0,711645.0,282790.0,516606.0,0.6009423964398357,0.23879954231284015,0.43624341863597405
8,beyonce,1785802.0,2322900.0,1262102.0,1479852.0,1.3007601066635608,0.7067424048130756,0.8286764154144748
9,justinbieber,1722280.0,1429169.0,,3303895.0,0.8298122256543652,,1.918326288408389
10,kendalljenner,1928169.0,2240358.0,1629997.0,2839954.0,1.161909562906571,0.8453600280888242,1.4728760808829517
11,natgeo,163594.0,170395.0,136997.0,112578.0,1.0415724293066984,0.8374206878002861,0.6881548223039965
12,taylorswift,3003468.0,2725098.0,,,0.9073171413845594,,
13,virat.kohli,3942675.0,4239819.0,,3586131.0,1.0753660902813444,,0.9095679963476574
14,nickiminaj,729836.0,538150.0,,869663.0,0.7373574337248369,,1.1915868770518308
15,mileycyrus,727164.0,631622.0,1450132.0,848354.0,0.868610107211028,1.9942296373307808,1.1666611658442938
16,neymarjr,1814080.0,2173832.0,1530830.0,1630718.0,1.1983109895925208,0.8438602487211149,0.898922869994708
17,kevinhart4real,150803.0,122090.0,,207838.0,0.8095992785289418,,1.3782086563264657
18,zendaya,9417553.0,6752693.0,,7803014.0,0.717032651687758,,0.8285606675109766
19,badgalriri,4036500.0,3816624.0,,,0.9455280564845783,,
